,school_name,school_city,school_score,school_post_code,address
2985,Cecil B Stirling,Hamilton,1.6,L8W1T9,340 Queen Victoria Drive
2986,First Nations School of Toronto,Toronto,1.6,M4M1R4,935 Dundas St E
2987,Lloyd S King,Hagersville,1.6,1H0,659 Unit #3 New Credit Road RR 6
2988,Odessa,Odessa,1.6,K0H2H0,10 North St 160
2989,Tyendinaga,Shannonville,1.6,K0K3A0,650 Shannonville Rd
2990,Central,Brantford,1.5,N3W2B2,135 George St
2991,North Hastings,Bancroft,1.5,K0L1C0,132 Newkirk Blvd Box 1030
2992,Notre-Dame,Hamilton,1.5,L8M2A2,400 avenue Cumberland
2993,Sir John A Macdonald,London,1.5,N5Y3W3,1150 Landor St
2994,B A Parker,Geraldton,1.4,P0T1M0,Hogarth Ave Box 909
2995,Queen Mary Street,Ottawa,1.4,K1K1V9,557 Queen Mary St
2996,Graham Bell-Victoria,Brantford,1.3,N3R4B2,56 Grand St
2997,Hillside,Forest,1.3,1J0,6265 Indian Lane
2998,Lord Strathcona,Kingston,1.3,K7M3H4,251 McMahon Ave
2999,Prince Charles,London,1.3,N5W2C9,1601 Wavell St
3000,High Park,Sarnia,1.2,N7S2T3,757 Kember Ave
3001,North Addington,Cloyne,1.2,K0H1K0,14196 Highway 41
3002,Prince Charles,Brantford,1.2,N3R2N5,40 Morton Ave
3003,Schumacher,Schumacher,1.2,P0N1G0,64 Croatia Ave Bag 919
3004,Baibombeh Anishinabe,Pawitik,1,P0X1L0,General Delivery
3005,Black River,Sutton West,1,L0E1R0,5279 Black River Rd Box 1120
3006,George L Armstrong,Hamilton,0.9,L9A1C3,460 Concession Street
3007,Queen Elizabeth II,Sarnia,0.9,N7S2N8,60 Aberdeen Ave
3008,Lakeview,M'Chigeeng,0.8,1G0,18 Lakeview Drive Box 297
3009,Wilton Grove,London,0.8,N6E1C1,626 Osgoode Dr
